,Litter,Shock,Stress,Sex,Condition,Pre,Post,recall_1,ext1_curve,ext2_curve,ext3_curve,ext4_curve,ext5_curve,extinction_recall,reminder_day1_shock,reminder_day2,Vox_data
221,,h,ELS,Female,2,0,50,15.38461538,,,,,,30.76923077,7.692307692,61.53846154,
222,,h,ELS,Female,2,0,0,69.23076923,,,,,,7.692307692,0,0,
223,,h,ELS,Female,2,8.333333333,83.33333333,75,,,,,,53.84615385,23.07692308,30.76923077,
224,,h,ELS,Female,2,0,66.66666667,58.33333333,,,,,,15.38461538,0,0,
225,,h,ELS,Female,2,0,100,61.53846154,,,,,,38.46153846,38.46153846,84.61538462,
226,,h,ELS,Female,2,7.692307692,100,69.23076923,,,,,,38.46153846,30.76923077,7.692307692,
227,,h,ELS,Male,10,0,83.33333333,61.53846154,61.53846154,53.84615385,23.07692308,15.38461538,0,23.07692308,23.07692308,0,
228,,h,ELS,Male,10,0,83.33333333,69.23076923,69.23076923,69.23076923,46.15384615,0,0,7.692307692,23.07692308,0,
229,,h,ELS,Male,10,0,100,84.61538462,84.61538462,46.15384615,61.53846154,61.53846154,87.5,46.15384615,23.07692308,38.46153846,
230,,h,ELS,Male,10,0,83.33333333,84.61538462,84.61538462,76.92307692,38.46153846,15.38461538,0,30.76923077,0,23.07692308,
231,,h,ELS,Male,10,0,83.33333333,83.33333333,83.33333333,84.61538462,69.23076923,23.07692308,50,53.84615385,38.46153846,15.38461538,
232,,h,ELS,Male,10,0,50,50,50,76.92307692,7.692307692,23.07692308,0,0,23.07692308,15.38461538,
233,,h,ELS,Female,2,0,83.33333333,0,,,,,,16.66666667,23.07692308,61.53846154,
234,,h,ELS,Female,2,0,66.66666667,15.38461538,,,,,,8.333333333,7.692307692,0,
235,,h,NS,Female,2,0,100,46.15384615,,,,,,38.46153846,38.46153846,30.76923077,
236,,h,NS,Female,2,0,100,76.92307692,,,,,,84.61538462,15.38461538,0,
237,,h,ELS,Female,10,0,100,30.76923077,30.76923077,53.84615385,30.76923077,46.15384615,0,0,30.76923077,30.76923077,
238,,h,ELS,Female,10,0,33.33333333,30.76923077,30.76923077,7.692307692,23.07692308,23.07692308,0,0,46.15384615,7.692307692,
239,,h,ELS,Female,10,NA,NA,46.15384615,46.15384615,23.07692308,23.07692308,61.53846154,87.5,15.38461538,23.07692308,30.76923077,
240,,h,ELS,Female,10,0,83.33333333,84.61538462,84.61538462,61.53846154,30.76923077,23.07692308,0,23.07692308,15.38461538,23.07692308,
241,,h,ELS,Female,10,7.692307692,75,15.38461538,15.38461538,15.38461538,30.76923077,0,0,23.07692308,46.15384615,38.46153846,
242,,h,NS,Female,2,0,100,15.38461538,,,,,,53.84615385,15.38461538,NA,
243,,h,NS,Female,2,0,33.33333333,76.92307692,,,,,,7.692307692,30.76923077,NA,
244,,h,ELS,Male,10,0,66.66666667,50,50,16.66666667,41.66666667,25,25,61.53846154,38.46153846,69.23076923,
