Shock,Stress,Sex,Condition,Pre,Post,recall_1,ext1_curve,ext2_curve,ext3_curve,ext4_curve,ext5_curve,extinction_recall,reminder_day1_shock,reminder_day2
h,ELS,Female,2,0,83.33333333,0,,,,,,16.66666667,23.07692308,61.53846154
h,ELS,Female,2,0,66.66666667,15.38461538,,,,,,8.333333333,7.692307692,0
h,NS,Female,2,0,100,46.15384615,,,,,,38.46153846,38.46153846,30.76923077
h,NS,Female,2,0,100,76.92307692,,,,,,84.61538462,15.38461538,0
h,ELS,Female,10,0,100,30.76923077,30.76923077,53.84615385,30.76923077,46.15384615,0,0,30.76923077,30.76923077
h,ELS,Female,10,0,33.33333333,30.76923077,30.76923077,7.692307692,23.07692308,23.07692308,0,0,46.15384615,7.692307692
h,ELS,Female,10,#DIV/0!,#DIV/0!,46.15384615,46.15384615,23.07692308,23.07692308,61.53846154,87.5,15.38461538,23.07692308,30.76923077
h,ELS,Female,10,0,83.33333333,84.61538462,84.61538462,61.53846154,30.76923077,23.07692308,0,23.07692308,15.38461538,23.07692308
h,ELS,Female,10,7.692307692,75,15.38461538,15.38461538,15.38461538,30.76923077,0,0,23.07692308,46.15384615,38.46153846
h,NS,Female,2,0,100,15.38461538,,,,,,53.84615385,15.38461538,#DIV/0!
h,NS,Female,2,0,33.33333333,76.92307692,,,,,,7.692307692,30.76923077,#DIV/0!
h,ELS,Male,10,0,66.66666667,50,50,16.66666667,41.66666667,25,25,61.53846154,38.46153846,69.23076923
h,ELS,Male,10,0,50,41.66666667,41.66666667,58.33333333,33.33333333,25,25,30.76923077,7.692307692,15.38461538
h,ELS,Female,2,7.692307692,83.33333333,50,,,,,,0,46.15384615,0
h,ELS,Female,2,0,83.33333333,33.33333333,,,,,,7.692307692,46.15384615,23.07692308
h,ELS,Female,2,0,100,41.66666667,,,,,,23.07692308,15.38461538,53.84615385
h,ELS,Female,2,0,66.66666667,58.33333333,,,,,,30.76923077,15.38461538,53.84615385
h,ELS,Female,2,7.692307692,83.33333333,25,,,,,,23.07692308,15.38461538,15.38461538
h,ELS,Female,10,0,66.66666667,69.23076923,69.23076923,25,8.333333333,50,41.66666667,7.692307692,23.07692308,38.46153846
h,ELS,Female,10,0,66.66666667,33.33333333,33.33333333,16.66666667,16.66666667,8.333333333,0,0,7.692307692,0
h,ELS,Female,10,23.07692308,83.33333333,41.66666667,41.66666667,33.33333333,58.33333333,41.66666667,83.33333333,15.38461538,46.15384615,53.84615385
h,ELS,Female,10,0,100,41.66666667,41.66666667,41.66666667,50,8.333333333,50,23.07692308,38.46153846,15.38461538
h,NS,Male,2,0,100,25,,,,,,23.07692308,36.36363636,7.692307692
h,NS,Male,2,0,66.66666667,66.66666667,,,,,,7.692307692,27.27272727,15.38461538
h,NS,Male,2,0,66.66666667,66.66666667,,,,,,30.76923077,45.45454545,38.46153846
h,NS,Male,2,0,66.66666667,75,,,,,,53.84615385,9.090909091,15.38461538
h,NS,Male,2,7.692307692,66.66666667,91.66666667,,,,,,15.38461538,7.692307692,46.15384615
h,NS,Male,2,0,100,91.66666667,,,,,,15.38461538,38.46153846,30.76923077
h,NS,Male,10,0,66.66666667,58.33333333,58.33333333,33.33333333,25,25,33.33333333,7.692307692,15.38461538,46.15384615
h,NS,Male,10,0,83.33333333,16.66666667,16.66666667,100,41.66666667,8.333333333,16.66666667,7.692307692,15.38461538,15.38461538
h,NS,Male,10,0,66.66666667,8.333333333,8.333333333,0,0,0,8.333333333,0,0,7.692307692
h, NS,Male,10,7.692307692,50,83.33333333,83.33333333,83.33333333,91.66666667,41.66666667,8.333333333,76.92307692,0,45.45454545
